City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Kapaa,US,82.4,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
4,Butaritari,KI,83.03,overcast clouds,3.07,172.79,Isles Sunset Lodge
9,Jalu,LY,83.43,clear sky,29.03,21.55,Jalu Hotel
12,Magione,IT,87.01,scattered clouds,43.14,12.21,Villaggio Albergo Le Tre Isole
18,Ceres,US,87.01,clear sky,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
21,Binzhou,CN,82.99,light rain,37.37,118.02,Hampton By Hilton Binzhou
26,Ha Tinh,VN,81.25,overcast clouds,18.33,105.9,Phú Quý
40,Champerico,GT,84.2,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
45,Guerrero Negro,MX,84.13,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
46,San Jose,US,87.01,smoke,37.34,-121.89,The Westin San Jose
48,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
57,Cabo San Lucas,MX,90.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
65,Laguna,US,88.0,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
68,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
70,Bethel,US,87.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
71,Vung Tau,VN,81.37,light rain,10.35,107.08,Seaside Resort
92,Billings,US,81.0,haze,45.78,-108.5,Best Western Plus Clocktower Inn
93,Collingwood,CA,86.0,few clouds,44.48,-80.22,Comfort Inn & Suites
96,Hilo,US,80.6,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
97,Kalmunai,LK,80.69,clear sky,7.42,81.82,VS Villa
105,Nha Trang,VN,80.6,few clouds,12.25,109.18,Hanoi Golden Hotel
108,Victoria,HK,84.0,broken clouds,22.29,114.16,Mini Hotel Central
110,Puerto Ayacucho,VE,87.8,broken clouds,5.66,-67.62,Posada Turistica Manapiare
111,Koutsouras,GR,82.99,clear sky,35.03,25.95,The White Houses
113,Hithadhoo,MV,82.47,moderate rain,-0.6,73.08,Scoop Guest House
118,Asyut,EG,86.0,clear sky,27.18,31.18,Florence Hotel Assiut
122,Shankargarh,IN,81.75,overcast clouds,25.18,81.62,Sagar Guest House
127,Itarema,BR,81.41,clear sky,-2.92,-39.92,Windvillage
137,Filadelfia,US,84.99,moderate rain,39.95,-75.16,Loews Philadelphia Hotel
141,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
153,Gunjur,GM,84.2,broken clouds,13.2,-16.73,Kuba Lodge
156,Maceio,BR,80.6,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
157,Wanning,CN,80.22,overcast clouds,18.8,110.4,Paradise Hotel
179,Nola,IT,80.6,few clouds,40.92,14.53,Pamaran Hotel
186,Golfito,CR,81.16,moderate rain,8.64,-83.17,Banana Bay Marina
187,Salamanca,ES,82.99,clear sky,40.83,-6.0,Palacio Carrascalino
209,Puerto Escondido,MX,82.4,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
210,Kloulklubed,PW,84.07,overcast clouds,7.04,134.26,Storyboard Beach Resort
215,Santo Domingo,DO,86.0,shower rain,18.5,-69.99,Micro Hotel Condo Suites
219,Clyde,US,86.0,clear sky,41.3,-82.98,Red Roof Inn Clyde
221,Road Town,VG,87.8,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
229,Roma,US,87.8,clear sky,43.21,-75.46,Wingate By Wyndham Rome
232,Sheridan,US,80.01,clear sky,44.83,-106.92,Best Western Sheridan Center
247,Trebisacce,IT,81.0,clear sky,39.87,16.53,Hotel Ristorante Stellato
263,Isla Aguada,MX,86.0,broken clouds,18.78,-91.47,Freedom Shores
267,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
273,Hami,CN,80.76,few clouds,42.8,93.45,Laoyutang Resort
