City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rikitea,PF,-23.12,-134.97,69.89,83,43,22.82,scattered clouds
1,Kapaa,US,22.08,-159.32,82.4,74,1,12.75,clear sky
2,Kodiak,US,57.79,-152.41,57.06,79,100,1.7,overcast clouds
3,Hvide Sande,DK,56.0,8.13,61.0,76,20,1.99,few clouds
4,Butaritari,KI,3.07,172.79,83.03,68,100,10.54,overcast clouds
5,Port Elizabeth,ZA,-33.92,25.57,60.8,77,54,12.75,broken clouds
6,Tsiroanomandidy,MG,-18.77,46.03,63.93,51,0,3.51,clear sky
7,Hermanus,ZA,-34.42,19.23,57.0,94,100,5.37,overcast clouds
8,Thinadhoo,MV,0.53,72.93,83.46,73,36,9.01,scattered clouds
9,Jalu,LY,29.03,21.55,83.43,45,0,19.93,clear sky
10,Taltal,CL,-25.4,-70.48,57.4,64,22,2.91,few clouds
11,Praia Da Vitoria,PT,38.73,-27.07,78.8,78,20,3.67,few clouds
12,Magione,IT,43.14,12.21,87.01,46,40,4.0,scattered clouds
13,Hobart,AU,-42.88,147.33,41.0,75,40,3.36,scattered clouds
14,Nikolskoye,RU,59.7,30.79,61.0,82,75,4.47,broken clouds
15,Qostanay,KZ,53.17,63.58,51.8,87,0,4.47,clear sky
16,Carnarvon,AU,-24.87,113.63,64.4,82,0,17.22,clear sky
17,Bluff,NZ,-46.6,168.33,43.0,93,14,1.99,few clouds
18,Ceres,US,37.59,-120.96,87.01,33,1,4.7,clear sky
19,Punta Arenas,CL,-53.15,-70.92,37.4,59,75,25.28,broken clouds
20,Paamiut,GL,61.99,-49.67,42.6,88,0,3.87,clear sky
21,Binzhou,CN,37.37,118.02,82.99,77,99,8.93,light rain
22,Barrow,US,71.29,-156.79,39.2,100,90,6.93,fog
23,Ushuaia,AR,-54.8,-68.3,37.4,69,20,10.29,few clouds
24,Labuhan,ID,-6.88,112.21,78.42,78,29,7.07,scattered clouds
25,Thompson,CA,55.74,-97.86,50.0,100,90,4.7,light rain
26,Ha Tinh,VN,18.33,105.9,81.25,76,100,8.25,overcast clouds
27,Upernavik,GL,72.79,-56.15,44.47,85,91,8.28,overcast clouds
28,Saskylakh,RU,71.92,114.08,40.03,86,0,7.38,clear sky
29,Mar Del Plata,AR,-38.0,-57.56,66.2,37,0,16.11,clear sky
30,Bengkulu,ID,-3.8,102.27,76.24,87,99,4.74,overcast clouds
31,Khatanga,RU,71.97,102.5,53.83,66,72,9.44,broken clouds
32,Khromtau,KZ,50.25,58.43,59.63,57,10,9.35,clear sky
33,Vaini,TO,-21.2,-175.2,73.4,94,20,5.82,few clouds
34,Waipawa,NZ,-41.41,175.52,53.6,81,100,16.11,light rain
35,Arfara,GR,37.15,22.03,78.8,36,0,3.85,clear sky
36,Sitka,US,57.05,-135.33,57.2,93,90,3.53,light rain
37,Mataura,NZ,-46.19,168.86,43.0,93,16,1.99,few clouds
38,Jamestown,US,42.1,-79.24,79.0,83,90,4.7,overcast clouds
39,Kita,ML,13.03,-9.49,76.15,90,53,1.1,moderate rain
40,Champerico,GT,14.3,-91.92,84.2,74,75,6.93,broken clouds
41,Velky Senov,CZ,50.99,14.37,64.99,73,0,5.01,moderate rain
42,Esperance,AU,-33.87,121.9,50.0,100,90,6.93,overcast clouds
43,Ust-Nera,RU,64.57,143.2,35.76,78,99,6.2,overcast clouds
44,Hualmay,PE,-11.1,-77.61,67.12,63,6,8.72,clear sky
45,Guerrero Negro,MX,27.98,-114.06,84.13,47,0,16.53,clear sky
46,San Jose,US,37.34,-121.89,87.01,47,75,2.91,smoke
47,Albany,US,42.6,-73.97,82.4,61,40,6.93,thunderstorm
48,Kahului,US,20.89,-156.47,87.8,43,20,11.41,few clouds
49,Severo-Kurilsk,RU,50.68,156.12,50.54,77,0,1.39,clear sky
50,Tahe,CN,52.33,124.73,58.44,96,100,4.38,light rain
51,Innisfail,AU,-17.53,146.03,59.58,62,0,5.06,clear sky
52,Carnot,CF,4.94,15.87,70.34,94,100,2.71,moderate rain
53,New Norfolk,AU,-42.78,147.06,39.0,87,47,3.15,scattered clouds
54,Airai,TL,-8.93,125.41,57.13,36,88,4.05,overcast clouds
55,Yellowknife,CA,62.46,-114.35,57.2,58,40,11.41,scattered clouds
56,Busselton,AU,-33.65,115.33,44.01,79,2,4.21,clear sky
57,Cabo San Lucas,MX,22.89,-109.91,90.0,52,20,5.82,few clouds
58,Bredasdorp,ZA,-34.53,20.04,59.0,82,100,2.24,overcast clouds
59,Borba,BR,-4.39,-59.59,101.19,22,0,2.35,clear sky
60,Chokurdakh,RU,70.63,147.92,32.92,94,100,9.84,overcast clouds
61,Kalangala,UG,-0.31,32.23,75.2,73,20,5.82,few clouds
62,Bealanana,MG,-14.55,48.73,56.28,90,98,3.98,overcast clouds
63,Atuona,PF,-9.8,-139.03,78.15,79,29,17.9,light rain
64,Dingle,PH,11.0,122.67,76.5,87,100,0.49,overcast clouds
65,Laguna,US,38.42,-121.42,88.0,37,1,3.36,haze
66,Ribeira Grande,PT,38.52,-28.7,75.2,88,75,8.05,broken clouds
67,Cherskiy,RU,68.75,161.3,38.28,93,100,13.27,overcast clouds
68,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
69,Coahuayana,MX,18.73,-103.68,78.8,83,75,6.93,broken clouds
70,Bethel,US,41.37,-73.41,87.01,58,40,5.82,scattered clouds
71,Vung Tau,VN,10.35,107.08,81.37,83,22,11.83,light rain
72,Dikson,RU,73.51,80.55,46.31,79,0,10.16,clear sky
73,Talakan,RU,50.32,130.37,60.98,91,100,3.6,overcast clouds
74,Ormara,PK,25.21,64.64,83.62,86,100,16.04,overcast clouds
75,Tasiilaq,GL,65.61,-37.64,48.2,76,0,9.17,clear sky
76,Longyearbyen,SJ,78.22,15.64,46.4,65,0,6.93,clear sky
77,Provideniya,RU,64.38,-173.3,50.05,91,100,4.61,light rain
78,Gusau,NG,12.16,6.66,77.13,82,53,6.46,light rain
79,Hasaki,JP,35.73,140.83,75.2,94,75,6.93,fog
80,Ayan,RU,56.45,138.17,53.51,66,0,5.37,clear sky
81,Tabuleiro Do Norte,BR,-5.25,-38.13,96.58,19,33,7.54,scattered clouds
82,Poronaysk,RU,49.22,143.12,55.83,93,94,2.57,overcast clouds
83,Ahtopol,BG,42.1,27.95,75.2,73,0,8.05,clear sky
84,Ostrovnoy,RU,68.05,39.51,58.82,88,79,17.34,broken clouds
85,Cape Town,ZA,-33.93,18.42,61.0,87,75,10.29,broken clouds
86,Venado Tuerto,AR,-33.75,-61.97,72.0,25,0,21.0,clear sky
87,Aleksandriya,RU,45.09,43.25,64.33,44,17,6.44,few clouds
88,Port Alfred,ZA,-33.59,26.89,58.24,82,0,9.06,clear sky
89,Imbituba,BR,-28.24,-48.67,64.4,68,75,10.29,broken clouds
90,Qaanaaq,GL,77.48,-69.36,37.58,83,99,3.36,overcast clouds
91,Codrington,AU,-38.27,141.97,44.65,81,100,9.06,overcast clouds
92,Billings,US,45.78,-108.5,81.0,33,20,4.7,haze
93,Collingwood,CA,44.48,-80.22,86.0,45,20,9.17,few clouds
94,Egvekinot,RU,66.32,-179.17,47.32,93,96,3.27,light rain
95,Jimma,ET,7.67,36.83,60.28,88,100,2.33,light rain
96,Hilo,US,19.73,-155.09,80.6,74,40,3.36,scattered clouds
97,Kalmunai,LK,7.42,81.82,80.69,76,6,11.5,clear sky
98,Vostok,RU,46.49,135.88,52.61,89,91,3.31,overcast clouds
99,Avarua,CK,-21.21,-159.78,71.6,83,0,4.7,clear sky
100,La Brea,HN,15.8,-85.97,93.7,49,100,5.59,overcast clouds
101,Severodvinsk,RU,64.56,39.83,60.8,93,90,6.71,light intensity shower rain
102,Mahebourg,MU,-20.41,57.7,71.6,73,20,13.87,few clouds
103,Biankouma,CI,7.74,-7.61,70.38,97,97,3.53,light rain
104,Castro,BR,-24.79,-50.01,57.15,70,13,10.29,few clouds
105,Nha Trang,VN,12.25,109.18,80.6,94,20,3.36,few clouds
106,Grand Gaube,MU,-20.01,57.66,72.0,69,47,8.01,scattered clouds
107,Phetchabun,TH,16.25,101.08,75.61,91,100,2.89,overcast clouds
108,Victoria,HK,22.29,114.16,84.0,74,63,5.01,broken clouds
109,Rio Grande,BR,-32.03,-52.1,68.0,60,0,16.11,clear sky
110,Puerto Ayacucho,VE,5.66,-67.62,87.8,55,75,4.7,broken clouds
111,Koutsouras,GR,35.03,25.95,82.99,42,0,11.01,clear sky
112,Lasa,IT,46.62,10.7,62.6,63,40,3.36,scattered clouds
113,Hithadhoo,MV,-0.6,73.08,82.47,78,11,12.01,moderate rain
114,Changli,CN,39.7,119.15,73.62,96,100,4.16,light rain
115,Caravelas,BR,-17.71,-39.25,68.27,85,100,12.21,light rain
116,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,50,40,18.34,scattered clouds
117,Cayenne,GF,4.93,-52.33,78.8,83,5,4.7,clear sky
118,Asyut,EG,27.18,31.18,86.0,37,0,11.41,clear sky
119,Bambous Virieux,MU,-20.34,57.76,72.0,73,20,13.87,few clouds
120,Lavrentiya,RU,65.58,-171.0,46.99,94,100,5.1,overcast clouds
121,Volksrust,ZA,-27.37,29.88,50.38,42,0,3.06,clear sky
122,Shankargarh,IN,25.18,81.62,81.75,82,100,5.55,overcast clouds
123,Mantua,IT,45.17,10.78,73.0,73,100,11.01,heavy intensity rain
124,Amurzet,RU,47.7,131.1,59.18,94,100,4.61,overcast clouds
125,Tuktoyaktuk,CA,69.45,-133.04,60.8,72,40,11.41,scattered clouds
126,Ilhabela,BR,-23.78,-45.36,66.33,67,34,4.79,scattered clouds
127,Itarema,BR,-2.92,-39.92,81.41,66,0,21.03,clear sky
128,Tuatapere,NZ,-46.13,167.68,43.0,93,95,1.99,overcast clouds
129,Midland,US,32.0,-102.08,91.4,31,1,8.05,clear sky
130,Burnie,AU,-41.07,145.92,41.0,74,72,10.0,broken clouds
131,Tiksi,RU,71.69,128.87,37.63,79,100,10.02,overcast clouds
132,Mandalgovi,MN,45.76,106.27,56.77,58,0,9.75,clear sky
133,Kharp,RU,66.8,65.81,50.04,82,75,4.97,broken clouds
134,Kibala,TD,9.11,18.35,82.4,78,20,2.62,few clouds
135,Salalah,OM,17.02,54.09,77.0,100,90,4.7,overcast clouds
136,Opunake,NZ,-39.46,173.86,52.0,91,96,11.01,light rain
137,Filadelfia,US,39.95,-75.16,84.99,74,75,8.05,moderate rain
138,Velsk,RU,61.07,42.1,60.4,88,100,4.9,overcast clouds
139,Flinders,AU,-34.58,150.86,50.0,60,0,10.0,clear sky
140,Zuenoula,CI,7.43,-6.04,74.84,88,8,4.29,light rain
141,Makakilo City,US,21.35,-158.09,82.4,65,1,3.36,clear sky
142,Kavieng,PG,-2.57,150.8,77.95,87,100,9.22,light rain
143,Coquimbo,CL,-29.95,-71.34,55.4,62,90,14.99,overcast clouds
144,Nouadhibou,MR,20.93,-17.03,78.8,69,0,17.22,clear sky
145,Ilulissat,GL,69.22,-51.1,46.4,52,0,2.24,clear sky
146,Liwale,TZ,-9.77,37.93,70.5,73,83,2.93,light rain
147,Talpa,MX,28.83,-111.63,102.0,35,4,1.99,clear sky
148,Mamonovo,RU,54.46,19.94,66.2,72,20,4.47,few clouds
149,Kaitangata,NZ,-46.28,169.85,52.0,90,100,15.99,overcast clouds
150,Kodinsk,RU,58.69,99.18,53.58,89,97,1.1,overcast clouds
151,Hambantota,LK,6.12,81.12,78.8,100,20,5.82,few clouds
152,Ketchikan,US,55.34,-131.65,57.2,100,90,9.17,light rain
153,Gunjur,GM,13.2,-16.73,84.2,83,75,3.36,broken clouds
154,Rorvik,NO,64.86,11.24,53.6,62,40,16.11,scattered clouds
155,Bilibino,RU,68.05,166.44,38.79,90,100,3.04,overcast clouds
156,Maceio,BR,-9.67,-35.74,80.6,61,20,10.29,few clouds
157,Wanning,CN,18.8,110.4,80.22,86,100,9.73,overcast clouds
158,Leningradskiy,RU,69.38,178.42,43.77,88,95,11.92,overcast clouds
159,Taoudenni,ML,22.68,-3.98,108.3,7,0,13.09,clear sky
160,Ouango,CF,4.31,22.56,70.27,97,61,1.79,broken clouds
161,Ridgecrest,US,35.62,-117.67,96.01,15,0,5.53,clear sky
162,Cidreira,BR,-30.18,-50.21,61.74,73,0,16.08,clear sky
163,Buta,CD,2.79,24.73,68.22,97,100,0.38,overcast clouds
164,Odweyne,SO,9.41,45.06,74.62,53,100,18.03,overcast clouds
